,Business Name,Locality,Phone Number,State,Street Address,Zip Code
99,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 467-7785,CA,6922 Hollywood Blvd,90028
100,Starbucks Coffee,Los Angeles ,(323) 254-5716,CA,7311 N Figueroa St,90041
101,Starbucks Coffee,Los Angeles ,(310) 641-5700,CA,5855 W Century Blvd,90045
102,Starbucks Coffee,Los Angeles ,(310) 649-1526,CA,8701 Lincoln Blvd,90045
103,The Coffee Bean & Tea Leaf,Los Angeles ,(310) 914-9564,CA,11913 W Olympic Blvd,90064
104,Starbucks Coffee,Los Angeles ,(310) 395-8212,CA,13050 San Vicente Blvd,90049
105,Balconi Coffee Company,Los Angeles ,(310) 906-0267,CA,11301 W Olympic Blvd Ste 124,90064
106,Tierra Mia Coffee,Los Angeles ,(213) 895-6000,CA,653 S Spring St,90014
107,Philz Coffee,Los Angeles ,(213) 213-2616,CA,801 S Hope St,90017
108,Starbucks Coffee,Los Angeles ,(213) 488-9902,CA,735 S Figueroa St Ste 308,90017
109,Aladin's Coffee Shop,Los Angeles ,(213) 747-4032,CA,1150 S Hope St,90015
110,Tierra Mia Coffee,Los Angeles ,(213) 483-3955,CA,1202 N Alvarado St,90026
111,Alchemist Coffee Project,Los Angeles ,(213) 388-8767,CA,698 S Vermont Ave Ste 103,90005
112,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 263-9317,CA,209 S Mednik Ave,90022
113,Cofax Coffee Shop,Los Angeles ,(323) 424-7485,CA,440 N Fairfax Ave,90036
114,Cafe Glace,Los Angeles ,(310) 478-8080,CA,1441 Westwood Blvd,90024
115,Espresso Profeta,Los Angeles ,(310) 208-3375,CA,1129 Glendon Ave,90024
116,The Coffee Bean & Tea Leaf,Los Angeles ,(310) 442-1019,CA,11698 San Vicente Blvd,90049
117,Ozero by Cofftea,Los Angeles ,(213) 626-8889,CA,131 S Central Ave,90012
118,Spring For Coffee,Los Angeles ,(213) 413-8626,CA,548 S Spring St,90013
119,Nick's Coffee Shop & Deli,Los Angeles ,(310) 652-3567,CA,8536 W Pico Blvd,90035
120,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 934-1449,CA,7235 Beverly Blvd,90036
121,Starbucks Coffee,Los Angeles ,(310) 557-0785,CA,1999 Avenue Of The Stars,90067
122,Lazy Daisy Cafe,Los Angeles ,(310) 477-8580,CA,11913 Wilshire Blvd,90025
123,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 956-3044,CA,5555 Melrose Ave,90038
124,Starbucks Coffee,Los Angeles ,(323) 965-9594,CA,6333 W 3rd St,90036
125,Starbucks,Los Angeles ,(213) 383-5370,CA,3680 Wilshire Blvd,90010
126,Starbucks Coffee,Los Angeles ,(310) 342-0152,CA,8817 S Sepulveda Blvd,90045
127,M Cafe De Chaya,Los Angeles ,(310) 207-1122,CA,11678 San Vicente Blvd,90049
128,Starbucks Coffee,Los Angeles ,(310) 893-2360,CA,10861 Weyburn Ave,90024
129,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 857-0461,CA,6333 W 3rd St Ste E-11,90036
130,The Coffee Bean & Tea Leaf,Los Angeles ,(310) 909-5555,CA,574 Hilgard Ave,90024
131,Starbucks Coffee,Los Angeles ,(323) 467-5534,CA,6745 Hollywood Blvd,90028
132,Starbucks Coffee,Los Angeles ,(310) 645-0416,CA,8844 S Sepulveda Blvd,90045
133,Starbucks Coffee,Los Angeles ,(323) 461-4167,CA,727 Vine St,90038
134,Charlie's Coffee Shop,Los Angeles ,(323) 933-0616,CA,6333 W 3rd St Ste St.,90036
135,Sul N Beans,Los Angeles ,(213) 385-5510,CA,621 S Western Ave,90005
136,Kerckhoff Coffeehouse -- UCLA Campus,Los Angeles ,(310) 206-0729,CA,2ND Floor Kerckhoff Hall,90095
137,Cafe Americano On Melrose,Los Angeles ,(323) 464-5727,CA,5770 Melrose Ave Ste 101,90038
138,CJ's Cafe,Los Angeles ,(323) 292-9221,CA,3655 S La Brea Ave,90016
139,Strada Eateria & Coffee,Los Angeles ,(213) 822-4558,CA,119 E 5th St,90013
140,Cafe Bella Roma,Los Angeles ,(310) 277-7662,CA,1509 S Robertson Blvd,90035
141,Cafe Primo,Los Angeles ,(213) 383-8410,CA,3255 Wilshire Blvd Ste 112,90010
142,Parsnip,Los Angeles ,(323) 739-0240,CA,5623 York Blvd,90042
143,Crumbs & Whiskers,Los Angeles ,(323) 879-9389,CA,7924 Melrose Ave,90046
144,The Dog Cafe,Los Angeles ,(323) 485-4077,CA,240 N Virgil Ave Ste 13,90004
145,Starbucks Coffee,Los Angeles ,(213) 687-9849,CA,120 S Los Angeles St,90012
146,Starbucks Coffee,Los Angeles ,(310) 286-3023,CA,2049 Century Park East,90067
147,Met Her At A Bar,Los Angeles ,(323) 847-5013,CA,759 S La Brea Ave,90036
148,Verve Coffee Roasters,Los Angeles ,(323) 424-7008,CA,8051 W 3rd St,90048
149,Starbucks Coffee,Los Angeles ,(213) 327-0208,CA,523 W 6th St,90014
